"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
102;"PTFM101B1G0";"PTC (Positive Temperature Coefficient) Thermistors PT100,1.2X4.0,B";2.0;22;34;40;"";"http://www.mouser.com/ds/2/418/NG_DS_PTF-FAMILY_A-775357.pdf";"PT_Temp_Sensor_DSL.jpg";17;1;10;0;0;1;0.0;0;"";0;0
103;"103020012";"Other Development Tools Grove - SPDT Relay(30A)";9.0;6;35;41;"";"http://www.seeedstudio.com/wiki/Grove_-_SPDT_Relay(30A)";"103020012_SPL.jpg";39;1;2;0;0;1;0.0;0;"";0;0
104;"3365/09-CUT-LENGTH";"Flat Cables .050 9 COND. 28AWG ROUND 1PC=1FT";0.0;7;36;1;"";"http://www.mouser.com/ds/2/1/ts0080-21443.pdf";"3365_series_cable.jpg";40;1;10;0;0;1;0.0;0;"";0;0
105;"90635-1102";"1.27mm QF50 Rec Vt P rLd Polz .76Au 10Ckt";0.0;4;17;14;"";"http://www.mouser.com/ds/2/276/0906351102_RB_CBL_WR_TRP_CONN-154614.pdf";"90635_SPL.jpg";14;1;10;0;0;1;0.0;0;"";0;0
106;"M20-9990246";"02 SIL VERTICAL PIN HEADER TIN 2.54mm 1 row";0.0;4;17;1;"";"";"m20-977.jpg";41;1;188;0;0;1;0.0;0;"";0;0
107;"M20-7821246";"12 PIN SIL VERTICAL SOCKET TIN  2.54";1.0;4;17;1;"";"http://www.mouser.com/ds/2/181/M20-782-351467.pdf";"m20-782.jpg";41;1;0;0;0;1;0.0;0;"";0;0
108;"LMP90080MHE/NOPB";"Analogue Front End Device, 16 Bit Sigma Delta ADC, 2.85 V to 5.5 V, HTSSOP-28";7.0;2;29;28;"";"http://www.ti.com/lit/gpn/lmp90080";"GE28TSSOP-40.jpg";7;289;4;3;0;101;0.0;0;"";0;1
109;"MCP3201-CI/P";"Analogue to Digital Converter, 12 bit, 100 kSPS, Single, 2.7 V, 5.5 V, DIP";2.0;2;29;28;"";"http://ww1.microchip.com/downloads/en/DeviceDoc/21290D.pdf";"42268235.jpg";6;289;9;4;0;101;0.0;0;"";0;9
110;"TLV5616CP";"2.7V to 5.5V low power 12*bit digital-to-anaglog converters with power down option";7.0;2;29;29;"";"http://www.ti.com/lit/ds/symlink/tlv5616.pdf";"TI_PDIP_8.jpg";7;281;3;4;0;83;0.0;0;"";0;9
111;"NCP1200P100";"Switching Controllers 100KHz Current Mode";0.0;2;7;9;"";"http://www.mouser.com/ds/2/308/ncp1200-d-303465.pdf";"42268235.jpg";26;298;2;4;0;101;0.0;0;"";0;9
112;"TLV5616CDR";"Digital to Analog Converters - DAC 2.7-5.5 V Low Power 12-Bit";6.0;2;29;29;"";"http://www.ti.com/lit/gpn/tlv5616";"TI_SOIC_8.jpg";7;281;4;0;0;83;0.0;0;"";0;1
113;"MCP4131-103E/MS";"Digital Potentiometer ICs Digital Pot 128 step SPI Sngl Ch";0.0;2;21;1;"";"http://www.mouser.com/ds/2/268/22060a-53835.pdf";"MSOP_8_t.jpg";6;297;4;0;0;101;0.0;0;"";0;1
